Source,Target,Weight
Carlos,mexeu,1
mexeu,escuro,1
declarou,dor,1
levava,Cruges,1
acendendo,vela,1
Carlos,encontrar,1
encontrar,avô,1
lançou,rumor,1
Carlos,arrastou,1
arrastou,súplica,1
Carlos,moveu,1
moveu,dois,1
Carlos,entrou,1
entrou,quarto,1
Carlos,pulou,1
pulou,leito,1
Carlos,levantara,1
levantara,cor,1
ergueu,Ega,1
Carlos,procurava,2
procurava,serenar,1
Carlos,passando,1
passando,nervosamente,1
tocou,braço,1
beijou,mão,1
Carlos,perdia,1
perdia,nesta,1
Carlos,permitiu,1
permitiu,mãos,1
Carlos,colocou,1
colocou,miniatura,1
Carlos,partiram,1
partiram,carruagem,1
fechou,gaveta,1
correu,reposteiro,1
pusera,nisto,1
Carlos,pretendia,1
pretendia,«,1
teve,tempo,1
pediu,Deus,1
Carlos,pensa,1
pensa,Excelência,1
tomou,vagão,1
ficara,«,1
demorou,Resende,1
Carlos,lembrava,1
lembrava,política,1
sorria,veia,1
atirando,charuto,1
voltando,poeta,1
Carlos,demorar,1
demorar,rendez,1
Carlos,reconhecia,1
reconhecia,encostados,1
Carlos,Olha,1
Olha,porta,1
Carlos,abandonou,1
abandonou,dedos,1
Carlos,estás,1
estás,cara,1
Carlos,estudando,1
estudando,sobrecasaca,1
deixara,Passeio,1
ria,modo,1
procurava,recordação,1
recordava,coça,1
Carlos,exclamou,1
exclamou,surpresa,1
abriu,porta,1
Carlos,descobriu,1
descobriu,desastre,1
saltava,cadeira,1
Carlos,vivia,1
vivia,pé,1
Carlos,vir,1
vir,Ramalhete,1
pousou,chapéu,1
teve,grito,1
Carlos,examinar,1
examinar,janela,1
Carlos,considerou,1
considerou,Ega,1
pôs,chapéu,1
teve,largo,1
